,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,outliercalcId
0,0,3,male,22,1,0,7.25,S,Third,man,True,C,Southampton,no,False,3
1,1,1,female,38,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,1
2,1,3,female,26,0,0,7.925,S,Third,woman,False,C,Southampton,yes,True,3
3,1,1,female,35,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,1
4,0,3,male,35,0,0,8.05,S,Third,man,True,C,Southampton,no,True,3
5,0,3,male,33,0,0,8.4583,Q,Third,man,True,C,Queenstown,no,True,3
6,0,1,male,54,0,0,51.8625,S,First,man,True,E,Southampton,no,True,1
7,0,3,male,2,3,1,21.075,S,Third,child,False,C,Southampton,no,False,3
8,1,3,female,27,0,2,11.1333,S,Third,woman,False,C,Southampton,yes,False,3
9,1,2,female,14,1,0,30.0708,C,Second,child,False,C,Cherbourg,yes,False,2
10,1,3,female,4,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,3
11,1,1,female,58,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,1
12,0,3,male,20,0,0,8.05,S,Third,man,True,C,Southampton,no,True,3
13,0,3,male,39,1,5,31.275,S,Third,man,True,C,Southampton,no,False,3
14,0,3,female,14,0,0,7.8542,S,Third,child,False,C,Southampton,no,True,3
15,1,2,female,55,0,0,16.0,S,Second,woman,False,C,Southampton,yes,True,2
16,0,3,male,2,4,1,29.125,Q,Third,child,False,C,Queenstown,no,False,3
17,1,2,male,33,0,0,13.0,S,Second,man,True,C,Southampton,yes,True,2
18,0,3,female,31,1,0,18.0,S,Third,woman,False,C,Southampton,no,False,3
19,1,3,female,32,0,0,7.225,C,Third,woman,False,C,Cherbourg,yes,True,3
20,0,2,male,35,0,0,26.0,S,Second,man,True,C,Southampton,no,True,2
21,1,2,male,34,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,2
22,1,3,female,15,0,0,8.0292,Q,Third,child,False,C,Queenstown,yes,True,3
23,1,1,male,28,0,0,35.5,S,First,man,True,A,Southampton,yes,True,1
24,0,3,female,8,3,1,21.075,S,Third,child,False,C,Southampton,no,False,3
25,1,3,female,38,1,5,31.3875,S,Third,woman,False,C,Southampton,yes,False,3
26,0,3,male,33,0,0,7.225,C,Third,man,True,C,Cherbourg,no,True,3
27,0,1,male,19,3,2,263.0,S,First,man,True,C,Southampton,no,False,1
28,1,3,female,32,0,0,7.8792,Q,Third,woman,False,C,Queenstown,yes,True,3
29,0,3,male,33,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,3
